Date / Time,Incident Number,Location,Nature,Incident ORI
2/24/2020 0:04,2020-00003064,1932 E LINDSEY ST,Breathing Problems,EMSSTAT
2/24/2020 0:04,2020-00002270,1932 E LINDSEY ST,Breathing Problems,14005
2/24/2020 0:08,2020-00014232,2146 W BROOKS ST,Open Door/Premises Check,OK0140200
2/24/2020 0:17,2020-00014233,OAKWOOD DR / WYLIE RD,Traffic Stop,OK0140200
2/24/2020 0:23,2020-00014234,400 12TH AVE NE,Traffic Stop,OK0140200
2/24/2020 0:26,2020-00014236,1800 W LINDSEY ST,Traffic Stop,OK0140200
2/24/2020 0:28,2020-00014237,E CEDAR LANE RD / ADDISON AVE,Traffic Stop,OK0140200
2/24/2020 0:30,2020-00014238,160 12TH AVE SE,Traffic Stop,OK0140200
2/24/2020 0:33,2020-00014239,E BOYD ST / OKLAHOMA AVE,Traffic Stop,OK0140200
2/24/2020 0:34,2020-00014240,901 N PORTER AVE,Welfare Check,OK0140200
2/24/2020 0:45,2020-00014241,1858 E LINDSEY ST,Suspicious,OK0140200
2/24/2020 0:49,2020-00014242,823 MONNETT AVE,Disturbance/Domestic,OK0140200
2/24/2020 1:44,2020-00003065,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 1:46,2020-00014243,1200 E ROBINSON ST,Traffic Stop,OK0140200
2/24/2020 1:51,2020-00003066,2021 ALAMEDA ST,Stroke,EMSSTAT
2/24/2020 1:51,2020-00002271,2021 ALAMEDA ST,Stroke,14005
2/24/2020 1:52,2020-00014244,443 12TH AVE NE,Alarm,OK0140200
2/24/2020 1:57,2020-00014245,700 12TH AVE SE,Traffic Stop,OK0140200
2/24/2020 2:03,2020-00014246,1400 ANN-BRANDEN BLVD,Follow Up,OK0140200
2/24/2020 2:09,2020-00014247,PARKWAY DR / INTERSTATE DR,Suspicious,OK0140200
2/24/2020 2:15,2020-00003067,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 2:16,2020-00003068,1401 SW 34TH ST,Transfer/Interfacility,EMSSTAT
2/24/2020 2:21,2020-00014248,1300 36TH AVE NW,Debris in Roadway,OK0140200
2/24/2020 2:22,2020-00014251,200 VICKSBURG AVE,Assault,OK0140200
2/24/2020 2:23,2020-00014249,1900 E IMHOFF RD,Follow Up,OK0140200
2/24/2020 2:23,2020-00014250,3301 W MAIN ST,Open Door/Premises Check,OK0140200
2/24/2020 2:31,2020-00002272,210 PINE TREE LN,Fire Alarm,14005
2/24/2020 2:34,2020-00014252,800 LEXINGTON ST,Open Door/Premises Check,OK0140200
2/24/2020 2:36,2020-00003069,1038 SYCAMORE RD; GOLDBY,Breathing Problems,EMSSTAT
2/24/2020 2:43,2020-00003070,3001 PHEASANT RUN RD,Heart Problems/AICD,EMSSTAT
2/24/2020 2:49,2020-00002273,3001 PHEASANT RUN RD,Heart Problems/AICD,14005
2/24/2020 2:53,2020-00014253,W ROBINSON ST / STUBBEMAN AVE,Traffic Stop,OK0140200
2/24/2020 3:01,2020-00014254,1834 E LINDSEY ST,Check Area,OK0140200
2/24/2020 3:05,2020-00014255,W MAIN ST / HAL MULDROW DR,Traffic Stop,OK0140200
2/24/2020 3:07,2020-00014258,850 ED NOBLE PKWY,Alarm,OK0140200
2/24/2020 3:07,2020-00014256,4008 PRESIDIO DR,Open Door/Premises Check,OK0140200
2/24/2020 3:12,2020-00014257,1833 DANFIELD DR,Suspicious,OK0140200
2/24/2020 3:28,2020-00003072,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
2/24/2020 3:31,2020-00003071,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
2/24/2020 3:40,2020-00014259,W LINDSEY ST / MCGEE DR,Traffic Stop,OK0140200
2/24/2020 4:16,2020-00003073,225 N WEBSTER AVE,Sick Person,EMSSTAT
2/24/2020 4:16,2020-00002274,225 N WEBSTER AVE,Sick Person,14005
2/24/2020 4:45,2020-00014260,1600 W ROBINSON ST,COP Problem Solving,OK0140200
2/24/2020 4:49,2020-00014261,1700 BARWICK DR,Suspicious,OK0140200
2/24/2020 5:09,2020-00003074,909 BRANDYWINE LN,Falls,EMSSTAT
2/24/2020 5:09,2020-00002275,909 BRANDYWINE LN,Falls,14005
2/24/2020 5:15,2020-00014263,1805 WHEATLAND PL,Alarm,OK0140200
2/24/2020 5:16,2020-00014262,W ROBINSON ST / N BERRY RD,Traffic Stop,OK0140200
2/24/2020 5:25,2020-00014264,WOODS AVE / W ROBINSON ST,Traffic Stop,OK0140200
2/24/2020 6:08,2020-00014265,2200 CLASSEN BLVD,Larceny,OK0140200
2/24/2020 6:29,2020-00014266,1018 N BERRY RD,Hit and Run,OK0140200
2/24/2020 6:35,2020-00014267,3700 W TECUMSEH RD,911 Call Nature Unknown,OK0140200
2/24/2020 6:36,2020-00003075,318 E HAYES ST,Convulsion/Seizure,EMSSTAT
2/24/2020 6:37,2020-00002276,318 E HAYES ST,Convulsion/Seizure,14005
2/24/2020 6:58,2020-00014268,621 SUNRISE ST,COP Relationships,OK0140200
2/24/2020 7:07,2020-00014269,2700 W TECUMSEH RD,Traffic Stop,OK0140200
2/24/2020 7:09,2020-00014270,E LINDSEY ST / E LINDSEY PLAZA DR,Traffic Stop,OK0140200
2/24/2020 7:13,2020-00003076,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
2/24/2020 7:17,2020-00003090,HILLCREST NURSING HOME,Transfer/Interfacility,EMSSTAT
