Date / Time,Incident Number,Location,Nature,Incident ORI
2/20/2020 0:08,2020-00013139,600 E STATE HWY 9 HWY,Traffic Stop,OK0140200
2/20/2020 0:08,2020-00013140,OKMULGEE ST / CLASSEN BLVD,Traffic Stop,OK0140200
2/20/2020 0:11,2020-00013141,1700 E IMHOFF RD,Follow Up,OK0140200
2/20/2020 0:12,2020-00002847,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
2/20/2020 0:14,2020-00013143,101 ANDOVER DR,Suspicious,OK0140200
2/20/2020 0:15,2020-00013142,450 S FLOOD AVE,Contact a Subject,OK0140200
2/20/2020 0:15,2020-00013144,1350 CREEKSIDE DR,Stolen Vehicle,OK0140200
2/20/2020 0:26,2020-00002848,333 INTERSTATE DR E,Cardiac Respritory Arrest,EMSSTAT
2/20/2020 0:26,2020-00013145,333 INTERSTATE DR E,Welfare Check,OK0140200
2/20/2020 0:26,2020-00013146,601 12TH AVE NE,Disturbance/Domestic,OK0140200
2/20/2020 0:27,2020-00002112,333 INTERSTATE DR E,Cardiac Respritory Arrest,14005
2/20/2020 0:28,2020-00013147,3001 OAK TREE AVE,Disturbance/Domestic,OK0140200
2/20/2020 0:40,2020-00013148,W HIMES ST / STUBBEMAN AVE,Welfare Check,OK0140200
2/20/2020 0:43,2020-00013149,2850 CHAUTAUQUA AVE,Alarm,OK0140200
2/20/2020 0:51,2020-00013150,575 S UNIVERSITY BLVD,Disturbance/Domestic,OK0140200
2/20/2020 0:56,2020-00002849,516 LEOPARD LILY DR,Chest Pain,EMSSTAT
2/20/2020 0:56,2020-00002113,516 LEOPARD LILY DR,Chest Pain,14005
2/20/2020 1:01,2020-00013151,2700 OAK TREE AVE,Contact a Subject,OK0140200
2/20/2020 1:17,2020-00002850,1810 CHERRY STONE ST,Unconscious/Fainting,EMSSTAT
2/20/2020 1:17,2020-00013152,1810 CHERRY STONE ST,Welfare Check,OK0140200
2/20/2020 1:18,2020-00002114,1810 CHERRY STONE ST,Unconscious/Fainting,14005
2/20/2020 1:26,2020-00013153,2400 36TH AVE NW,Suspicious,OK0140200
